City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
511,Tenenkou,ML,89.64,overcast clouds,14.46,-4.92,
513,Kavaratti,IN,81.19,light rain,10.57,72.64,Hotels in Lakshadweep Islands
514,Naifaru,MV,82.0,few clouds,5.44,73.37,Naifaru Residence Guest House
515,Yulara,AU,75.2,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
520,Coari,BR,82.49,overcast clouds,-4.08,-63.14,HOTEL ALEX FLAT
521,Chirongui,YT,78.8,clear sky,-12.93,45.15,La Villa Mahatsara
522,Lagos,NG,77.41,broken clouds,6.58,3.75,
526,Mareeba,AU,75.99,clear sky,-17.0,145.43,Trinity Plains Tourist Park
533,Sao Gabriel Da Cachoeira,BR,84.16,heavy intensity rain,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
535,Kudahuvadhoo,MV,82.15,light rain,2.67,72.89,Kudahuvadhoo Retreat
537,Cockburn Town,TC,83.84,light rain,21.46,-71.14,Osprey Beach Hotel
540,Gainesville,US,84.2,clear sky,29.65,-82.32,Wyndham Garden Gainesville
543,San Blas,MX,89.6,clear sky,21.52,-105.27,Hotel Posada del Rey
546,Karwar,IN,77.76,few clouds,14.8,74.13,Netalco Connects
548,Tutoia,BR,80.33,broken clouds,-2.76,-42.27,Pousada Guará's
551,Lingao,CN,76.75,light rain,19.91,109.69,Lingao Ditai Inn
554,Naspur,IN,77.58,moderate rain,18.83,79.45,Mancherla venkatswamy
556,Kerema,PG,77.79,light rain,-7.96,145.78,Elore Lodge
557,Porbandar,IN,84.43,light rain,21.64,69.61,Lords Inn Porbandar
565,Vicuna,CL,77.0,clear sky,-30.03,-70.71,Los Mosaicos
566,Taitung,TW,76.41,broken clouds,22.76,121.14,Taitung Bali Suites Hotel
569,Kandrian,PG,79.95,light rain,-6.22,149.55,Kandrian Station
576,Belmonte,BR,75.2,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
578,Rambha,IN,79.3,broken clouds,19.52,85.1,Dhoba Mantri
580,Grand-Lahou,CI,76.33,broken clouds,5.14,-5.02,Hotel Beatitude de Grand Lahou
581,Champerico,GT,87.8,scattered clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
585,Touros,BR,78.8,broken clouds,-5.2,-35.46,INN NEW HORIZON
590,Miri,MY,77.0,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
591,Lockhart,US,89.01,scattered clouds,28.62,-81.44,Sheraton Orlando North Hotel
595,Cozumel,MX,84.2,broken clouds,20.51,-86.95,Cozumel Palace® All Inclusive Resort
596,Cocobeach,GA,80.6,scattered clouds,1.0,9.58,Hôtel A Cocobeach
597,Makakilo City,US,84.2,scattered clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
598,Kununurra,AU,77.0,clear sky,-15.77,128.73,Hotel Kununurra
602,Vallenar,CL,77.54,clear sky,-28.57,-70.76,Humacao Bed & Breakfast
604,Awbari,LY,83.05,broken clouds,26.59,12.78,فندق أوباري
606,Iquitos,PE,87.8,few clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
609,Bambanglipuro,ID,78.01,overcast clouds,-7.95,110.28,Puri Brata
620,Eyl,SO,79.95,scattered clouds,7.98,49.82,Amiin Hotel
622,Qiongshan,CN,75.2,broken clouds,20.01,110.35,Sun City Restaurant
624,Ambon,ID,77.0,scattered clouds,-3.7,128.18,Swiss-Belhotel Ambon
630,Sur,OM,78.15,clear sky,22.57,59.53,Sur Plaza Hotel
635,Acala,MX,87.8,scattered clouds,16.57,-92.8,Hotel Jesus Acala
636,Callaguip,PH,75.2,few clouds,18.07,120.49,Pangil Beach Resort
641,Olinda,BR,80.6,broken clouds,-8.01,-34.86,Hotel 5 Sóis
643,Nishihara,JP,78.8,broken clouds,26.18,127.76,Minshuku Agaihama
650,Axim,GH,76.5,overcast clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
653,Kieta,PG,84.02,broken clouds,-6.22,155.63,
657,Cayenne,GF,82.4,clear sky,4.93,-52.33,Hôtel Le Dronmi
659,Bubaque,GW,82.9,overcast clouds,11.28,-15.83,Casa Dora - Mango Lodge
661,Mumford,GH,77.52,overcast clouds,5.26,-0.76,Spanish Villa
663,Honiara,SB,82.4,few clouds,-9.43,159.95,Heritage Park Hotel
669,Nortelandia,BR,87.46,light rain,-14.45,-56.8,Hotel Karysmã
674,Abnub,EG,75.2,clear sky,27.27,31.15,مسجد الخطبة
675,Taoudenni,ML,87.96,clear sky,22.68,-3.98,
676,Adiake,CI,80.6,few clouds,5.29,-3.3,Hotel Lagune
677,Fare,PF,78.76,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
685,Mairi,BR,79.29,clear sky,-11.71,-40.15,Pousada de Dona Roxa
687,Kara,TG,75.2,few clouds,9.55,1.19,Hotel Ma Vision B2K
688,Viedma,AR,84.0,clear sky,-40.81,-63.0,Hotel Cristal
690,Le Robert,MQ,84.2,broken clouds,14.68,-60.94,HARMONY HEBERGEMENT
698,Isangel,VU,77.0,few clouds,-19.55,169.27,Volcano Sea View Tree House
699,Quelimane,MZ,75.2,scattered clouds,-17.88,36.89,Hotel Flamingo
