City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
143,Goksun,TR,2020-10-12 20:52:49,38.02,36.5,68.0,32,0,3.36
144,Svetlogorsk,BY,2020-10-12 20:51:36,52.63,29.73,52.65,91,87,6.04
145,Axim,GH,2020-10-12 20:44:47,4.87,-2.24,76.77,87,0,8.34
146,Hasaki,JP,2020-10-12 20:52:49,35.73,140.83,68.0,100,75,1.12
147,Bandarbeyla,SO,2020-10-12 20:52:49,9.49,50.81,78.87,81,33,6.58
148,Inhambane,MZ,2020-10-12 20:44:18,-23.86,35.38,66.42,79,82,7.0
149,Tarko-Sale,RU,2020-10-12 20:52:50,64.92,77.78,36.66,97,100,9.13
150,Kathmandu,NP,2020-10-12 20:49:05,27.72,85.32,69.8,88,40,2.24
151,Katsuura,JP,2020-10-12 20:52:50,35.13,140.3,71.01,100,75,3.98
152,Roald,NO,2020-10-12 20:52:50,62.58,6.13,46.99,75,40,11.41
153,Carballo,ES,2020-10-12 20:52:50,43.21,-8.69,60.8,100,75,3.36
154,Tamale,GH,2020-10-12 20:52:50,9.4,-0.84,80.01,69,6,2.77
155,Sao Filipe,CV,2020-10-12 20:52:50,14.9,-24.5,77.97,77,16,9.93
156,Saint-Joseph,RE,2020-10-12 20:52:50,-21.37,55.62,71.6,68,75,4.7
157,Henties Bay,NA,2020-10-12 20:52:51,-22.12,14.28,55.99,88,0,4.0
158,Nikolskoye,RU,2020-10-12 20:52:51,59.7,30.79,48.99,87,100,2.24
159,Mar Del Plata,AR,2020-10-12 20:52:32,-38.0,-57.56,60.8,72,20,10.29
160,Minab,IR,2020-10-12 20:52:51,27.15,57.08,73.4,27,0,4.7
161,Torbay,CA,2020-10-12 20:51:44,47.67,-52.73,46.99,61,20,19.46
162,Ailigandi,PA,2020-10-12 20:52:51,9.23,-78.02,83.82,77,100,7.94
163,Opuwo,NA,2020-10-12 20:52:51,-18.06,13.84,64.76,28,0,6.93
164,Neuquen,AR,2020-10-12 20:48:49,-38.95,-68.06,84.2,20,0,4.7
165,Roblin,CA,2020-10-12 20:52:52,51.23,-101.36,49.59,46,12,20.89
166,Avarua,CK,2020-10-12 20:52:52,-21.21,-159.78,73.4,83,86,9.17
167,Port Blair,IN,2020-10-12 20:42:58,11.67,92.75,80.51,83,100,14.65
168,New Norfolk,AU,2020-10-12 20:51:47,-42.78,147.06,46.0,62,14,3.0
169,Puerto Baquerizo Moreno,EC,2020-10-12 20:44:17,-0.9,-89.6,73.4,83,75,20.8
170,Harper,LR,2020-10-12 20:52:52,4.38,-7.72,77.4,86,100,7.27
