City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
114,Padang,ID,-0.95,100.35,77.27,74,99,3.36,light rain
115,Mount Gambier,AU,-37.83,140.77,51.8,87,90,10.29,overcast clouds
116,Ouargaye,BF,11.5,0.06,86.67,44,92,7.05,overcast clouds
117,Tambau,BR,-21.7,-47.27,68.4,65,100,10.96,overcast clouds
118,Bambous Virieux,MU,-20.34,57.76,70.0,88,75,8.48,light intensity shower rain
119,Cravo Norte,CO,6.3,-70.2,83.03,75,90,3.13,overcast clouds
120,Filadelfia,US,39.95,-75.16,53.6,81,75,8.05,broken clouds
121,Oxbow,CA,49.23,-102.17,37.99,54,100,5.99,overcast clouds
122,Sao Filipe,CV,14.9,-24.5,80.6,78,100,3.09,overcast clouds
123,Negombo,LK,7.21,79.84,80.6,78,75,4.7,broken clouds
124,Provideniya,RU,64.38,-173.3,40.87,87,97,12.24,light rain
125,Zhezkazgan,KZ,47.8,67.71,50.05,47,2,4.88,clear sky
126,Celestun,MX,20.87,-90.4,83.26,67,1,12.37,clear sky
127,Guilin,CN,25.28,110.29,60.8,87,75,2.24,broken clouds
128,Hyeres,FR,43.12,6.12,55.0,87,0,2.24,clear sky
129,Oyama,JP,36.3,139.8,62.01,93,90,5.82,light rain
130,Guerrero Negro,MX,27.98,-114.06,82.89,43,77,15.7,broken clouds
131,Aykhal,RU,66.0,111.5,3.42,91,0,4.7,clear sky
132,Nabire,ID,-3.37,135.48,76.98,85,90,3.42,overcast clouds
133,Maceio,BR,-9.67,-35.74,77.0,83,20,8.05,few clouds
134,Pacific Grove,US,36.62,-121.92,93.0,19,1,6.93,clear sky
135,Bonthe,SL,7.53,-12.51,78.78,86,65,4.94,light rain
136,Massakory,TD,13.0,15.73,86.72,44,0,6.98,clear sky
137,San Juan,AR,-31.54,-68.54,89.46,19,35,7.74,scattered clouds
138,Nuuk,GL,64.18,-51.72,44.6,75,100,29.97,light snow
139,East London,ZA,-33.02,27.91,66.69,78,49,22.55,scattered clouds
140,Zanjan,IR,36.67,48.48,52.65,42,0,3.56,clear sky
141,Kiruna,SE,67.86,20.23,37.4,98,100,8.05,overcast clouds
142,Shihezi,CN,44.3,86.03,46.76,51,0,4.03,clear sky
143,Iquique,CL,-20.22,-70.14,64.4,72,84,19.46,broken clouds
144,Coquimbo,CL,-29.95,-71.34,59.0,72,40,11.41,scattered clouds
145,Torbay,CA,47.67,-52.73,54.0,100,90,2.24,fog
146,Hobart,AU,-42.88,147.33,46.0,81,75,8.05,light rain
147,Koumac,NC,-20.57,164.28,74.41,70,0,10.29,clear sky
148,Sobolevo,RU,54.43,31.9,36.72,85,8,5.91,clear sky
149,Iqaluit,CA,63.75,-68.51,33.8,100,90,3.36,light rain and snow
150,Port Elizabeth,ZA,-33.92,25.57,62.6,93,3,12.75,clear sky
151,Samarai,PG,-10.62,150.67,78.93,86,32,12.03,light rain
152,Lugus,PH,5.7,120.82,81.39,79,99,10.2,light rain
153,Katsuura,JP,35.13,140.3,57.0,87,75,12.75,light rain
154,Okaihau,NZ,-35.32,173.78,62.01,63,6,3.0,clear sky
155,Broome,US,42.25,-75.83,46.99,75,75,6.93,broken clouds
156,Nemuro,JP,43.32,145.57,49.77,72,90,7.49,overcast clouds
157,Letterkenny,IE,54.95,-7.73,43.3,87,64,2.82,broken clouds
158,Bethel,US,41.37,-73.41,50.0,96,100,1.01,moderate rain
159,Victoria,HK,22.29,114.16,75.0,69,65,11.01,broken clouds
160,Mayumba,GA,-3.43,10.66,76.75,84,91,4.94,overcast clouds
161,Black River,JM,18.03,-77.85,88.0,83,40,8.05,scattered clouds
162,Volzhsk,RU,55.87,48.36,37.4,86,90,15.66,light rain
163,Northam,GB,51.03,-4.22,50.0,82,20,1.99,few clouds
164,Ponta Do Sol,PT,32.67,-17.1,66.2,72,20,6.93,few clouds
165,Puerto Colombia,CO,10.99,-74.95,87.8,74,20,9.17,few clouds
166,Huarmey,PE,-10.07,-78.15,66.94,74,11,9.37,few clouds
167,Vardo,NO,70.37,31.11,30.2,80,40,10.29,scattered clouds
168,Umm Lajj,SA,25.02,37.27,83.91,45,0,5.37,clear sky
169,Mackay,AU,-21.15,149.2,70.0,82,40,5.82,scattered clouds
170,Constitucion,CL,-35.33,-72.42,56.62,82,4,3.47,clear sky
171,Fairbanks,US,64.84,-147.72,19.99,61,1,9.17,clear sky
172,Panzhihua,CN,26.59,101.71,59.25,79,100,2.3,overcast clouds
173,La Primavera,CO,5.49,-70.41,84.09,70,62,3.31,heavy intensity rain
174,Longyearbyen,SJ,78.22,15.64,28.4,58,40,16.11,scattered clouds
175,Antalaha,MG,-14.9,50.28,68.86,85,2,6.22,clear sky
176,Gopalpur,IN,19.27,84.92,79.43,84,42,3.4,scattered clouds
177,Clyde River,CA,70.47,-68.59,33.8,100,90,6.93,light rain
178,Muli,MV,2.92,73.57,82.26,78,45,17.9,scattered clouds
179,Carnarvon,AU,-24.87,113.63,68.0,94,40,17.22,scattered clouds
180,Lompoc,US,34.64,-120.46,88.0,28,1,13.87,clear sky
181,Ahipara,NZ,-35.17,173.17,59.56,53,0,3.96,clear sky
182,Tsnori,GE,41.62,45.97,59.0,72,0,9.17,clear sky
183,Messina,IT,38.19,15.55,66.0,63,40,2.24,scattered clouds
184,Ranfurly,NZ,-45.13,170.1,43.0,70,100,4.0,overcast clouds
185,Havelock,US,34.88,-76.9,71.6,93,90,14.99,overcast clouds
186,Ayagoz,KZ,47.97,80.44,40.32,66,0,2.57,clear sky
187,Vila,PT,42.03,-8.16,48.99,80,98,2.57,overcast clouds
188,Santa Cruz Cabralia,BR,-16.28,-39.02,75.2,88,75,4.7,broken clouds
189,Port Blair,IN,11.67,92.75,79.99,82,100,9.06,light rain
190,Babu,CN,24.42,111.52,59.59,82,29,6.73,scattered clouds
191,Grindavik,IS,63.84,-22.43,42.8,93,10,6.93,clear sky
192,Lundazi,ZM,-12.29,33.18,68.52,65,0,7.4,clear sky
193,Ulaangom,MN,49.98,92.07,30.38,93,0,1.39,clear sky
194,Jacareacanga,BR,-6.22,-57.75,83.61,58,56,2.55,broken clouds
195,Nipawin,CA,53.37,-104.0,32.0,75,1,17.22,clear sky
196,Kamenka,RU,51.32,42.77,53.01,85,99,7.83,overcast clouds
197,Haines Junction,CA,60.75,-137.51,26.44,67,34,10.49,scattered clouds
198,Port-Gentil,GA,-0.72,8.78,78.8,83,90,12.75,overcast clouds
199,Cherskiy,RU,68.75,161.3,26.71,95,92,4.81,overcast clouds
200,Maraa,BR,-1.83,-65.37,78.76,85,98,3.6,overcast clouds
201,Nyurba,RU,63.28,118.33,18.88,93,32,8.08,scattered clouds
202,Khetri,IN,27.98,75.8,70.97,23,0,1.66,clear sky
203,Dunedin,NZ,-45.87,170.5,45.0,78,100,8.99,overcast clouds
204,Ojinaga,MX,29.57,-104.42,78.8,24,1,4.7,clear sky
205,Marrakesh,MA,31.63,-8.01,58.75,65,0,3.24,clear sky
206,Puerto Escondido,MX,15.85,-97.07,84.81,70,93,4.76,overcast clouds
207,Los Llanos De Aridane,ES,28.66,-17.92,69.8,77,75,11.41,broken clouds
208,Bismarck,US,46.81,-100.78,44.6,33,40,4.7,scattered clouds
209,Castro,BR,-24.79,-50.01,58.66,78,49,9.73,scattered clouds
210,Alpena,US,45.06,-83.43,48.2,34,20,12.75,few clouds
211,Kodiak,US,57.79,-152.41,46.4,52,1,3.36,clear sky
212,Karaton,ID,-6.34,106.1,78.01,88,83,3.36,broken clouds
213,Bandarbeyla,SO,9.49,50.81,79.81,79,6,11.41,clear sky
214,Richards Bay,ZA,-28.78,32.04,67.8,86,76,2.21,broken clouds
215,Tuatapere,NZ,-46.13,167.68,48.99,71,47,5.99,scattered clouds
216,Lerwick,GB,60.15,-1.15,44.6,93,100,9.17,overcast clouds
217,Esperance,AU,-33.87,121.9,42.8,100,34,4.7,scattered clouds
218,Sovetskiy,RU,61.36,63.58,31.35,90,0,10.69,clear sky
219,Fortuna,US,40.6,-124.16,75.99,46,1,12.75,clear sky
220,Pitrufquen,CL,-38.98,-72.65,59.0,72,0,14.99,clear sky
221,Oriximina,BR,-1.77,-55.87,89.37,46,11,6.6,few clouds
222,Cururupu,BR,-1.83,-44.87,78.17,81,83,4.09,broken clouds
223,Velingara,SN,13.15,-14.12,81.07,70,91,4.63,overcast clouds
224,Hobyo,SO,5.35,48.53,79.21,78,2,22.37,clear sky
225,Ossora,RU,59.24,163.07,37.11,76,25,9.24,scattered clouds
226,Hilo,US,19.73,-155.09,84.2,62,40,10.29,scattered clouds
227,Husavik,IS,66.04,-17.34,37.4,86,90,9.86,overcast clouds
228,Flin Flon,CA,54.77,-101.86,28.4,58,90,10.29,light snow
229,San Quintin,MX,30.48,-115.95,79.32,53,0,11.65,clear sky
230,Sijunjung,ID,-0.69,100.95,70.3,80,100,1.61,overcast clouds
231,Airai,TL,-8.93,125.41,62.55,64,34,2.28,scattered clouds
232,Voznesenye,RU,61.01,35.48,35.4,88,63,10.71,broken clouds
233,Caravelas,BR,-17.71,-39.25,73.76,86,100,11.45,overcast clouds
234,Kambove,CD,-10.88,26.6,66.29,65,46,3.69,scattered clouds
235,San Carlos De Bariloche,AR,-41.15,-71.31,71.6,18,0,24.16,clear sky
236,Manokwari,ID,-0.87,134.08,80.53,75,100,4.34,overcast clouds
237,Lorengau,PG,-2.02,147.27,83.46,72,100,7.23,light rain
238,Georgetown,MY,5.41,100.34,78.8,94,20,1.12,light rain
239,Svetlogorsk,BY,52.63,29.73,42.03,91,35,8.08,scattered clouds
240,Cap Malheureux,MU,-19.98,57.61,70.0,78,4,1.99,clear sky
241,Olhao,PT,37.03,-7.84,60.8,55,40,6.93,scattered clouds
242,Yondo,CO,7.01,-73.91,86.83,68,17,1.48,few clouds
243,Damghan,IR,36.17,54.35,51.94,40,0,1.41,clear sky
244,Matagami,CA,49.75,-77.63,37.4,55,1,3.67,clear sky
245,Lgov,RU,51.63,35.28,45.25,92,72,5.37,broken clouds
246,Bernalda,IT,40.41,16.69,60.01,70,48,8.01,scattered clouds
247,Peleduy,RU,59.63,112.74,25.97,93,100,10.29,overcast clouds
248,Necochea,AR,-38.55,-58.74,71.01,68,0,11.01,clear sky
249,Dragor,DK,55.59,12.67,48.99,76,20,12.75,few clouds
250,Cabedelo,BR,-6.98,-34.83,77.0,88,20,8.05,few clouds
251,Nizhniy Kuranakh,RU,58.84,125.49,19.06,93,100,7.72,overcast clouds
252,Salalah,OM,17.02,54.09,75.88,54,0,0.67,clear sky
253,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,35.6,83,40,2.24,scattered clouds
254,Solnechnyy,RU,50.72,136.63,31.89,87,12,4.9,few clouds
255,Kontagora,NG,10.4,5.47,77.61,75,0,3.78,clear sky
256,Rio Gallegos,AR,-51.62,-69.22,51.8,62,75,16.11,broken clouds
257,Sola,VU,-13.88,167.55,80.6,88,75,5.82,broken clouds
